citation_courte,id,nom,prenom,photo_url,contexte_complet,date,source,
Vous ne passerez pas !,,,Gandalf,https://commons.wikimedia.org/wiki/File:Gandalf_icon.svg,"Face au Balrog dans les mines de la Moria, Gandalf se dresse sur le pont et déclare avec fermeté : Vous ne passerez pas ! Il frappe le pont avec son bâton pour empêcher la créature d'avancer.",2001,Le Seigneur des Anneaux : La Communauté de l'Anneau,
Un grand pouvoir implique de grandes responsabilités.,,Parker,Ben,https://commons.wikimedia.org/wiki/File:Spider-Man_Icon.svg,"Avant sa mort, l'oncle Ben dit à Peter Parker : Un grand pouvoir implique de grandes responsabilités. Cette phrase deviendra le principe directeur de Spider-Man.",2002,Spider-Man,
Que la Force soit avec vous.,,Kenobi,Obi-Wan,https://commons.wikimedia.org/wiki/File:Jedi_symbol.svg,Obi-Wan Kenobi prononce ces mots d'encouragement à Luke Skywalker avant des moments décisifs : Que la Force soit avec vous. Cette formule est devenue un symbole d'espoir et de soutien.,1977,Star Wars : Un nouvel espoir,
Je vais lui faire une offre qu'il ne pourra pas refuser.,,Corleone,Don Vito,https://commons.wikimedia.org/wiki/File:The_Godfather_logo.svg,Don Vito Corleone explique sa méthode de négociation : Je vais lui faire une offre qu'il ne pourra pas refuser. Cette phrase illustre son pouvoir de persuasion.,1972,Le Parrain,
Les gens ne devraient pas avoir peur de leur gouvernement. Le gouvernement devrait avoir peur de son peuple.,,,V,https://commons.wikimedia.org/wiki/File:V_vendetta_mask.svg,"Dans son discours télévisé, V déclare : Les gens ne devraient pas avoir peur de leur gouvernement. Le gouvernement devrait avoir peur de son peuple. Il appelle ainsi à la résistance contre la tyrannie.",2005,V pour Vendetta,
"Tout ce que nous avons à décider, c'est quoi faire du temps qui nous est imparti.",,,Gandalf,https://commons.wikimedia.org/wiki/File:Gandalf_icon.svg,"Gandalf conseille Frodon qui se lamente sur le fardeau de l'Anneau : Tout ce que nous avons à décider, c'est quoi faire du temps qui nous est imparti. Les autres temps ne nous appartiennent pas.",2001,Le Seigneur des Anneaux : La Communauté de l'Anneau,
Le plus grand bien pour le plus grand nombre.,,,Spock,https://commons.wikimedia.org/wiki/File:Vulcan_salute.svg,"Spock justifie son sacrifice en citant un principe fondamental : Le plus grand bien pour le plus grand nombre. Les besoins du plus grand nombre l'emportent sur les besoins du petit nombre, ou d'un seul.",1982,Star Trek II : La Colère de Khan,
"Ce n'est pas celui qui nous sommes au fond de nous qui nous définit, mais nos actes.",,Wayne,Bruce,https://commons.wikimedia.org/wiki/File:Batman_icon.svg,"Rachel Dawes dit à Bruce Wayne : Ce n'est pas celui qui nous sommes au fond de nous qui nous définit, mais nos actes. Elle l'encourage ainsi à agir plutôt qu'à se lamenter.",2005,Batman Begins,
"L'espoir est une bonne chose, peut-être la meilleure des choses. Et les bonnes choses ne meurent jamais.",,Dufresne,Andy,https://commons.wikimedia.org/wiki/File:Shawshank_icon.svg,"Dans sa lettre à Red, Andy Dufresne écrit : L'espoir est une bonne chose, peut-être la meilleure des choses. Et les bonnes choses ne meurent jamais. Il exprime ainsi sa philosophie de vie malgré l'emprisonnement.",1994,Les Évadés,
Le chaos n'est qu'une échelle.,,Baelish,Petyr,https://commons.wikimedia.org/wiki/File:Game_of_Thrones_icon.svg,Petyr Baelish explique sa vision du pouvoir à Varys : Le chaos n'est pas un gouffre. Le chaos est une échelle. Beaucoup de ceux qui essaient de grimper échouent et ne peuvent plus réessayer. La chute les tue.,2013,Game of Thrones (série),
